accounting_cpu,accounting_mem_mb,accounting_mem_pct,accounting_net_rx_mb,accounting_net_tx_mb,ad_cpu,ad_mem_mb,ad_mem_pct,ad_net_rx_mb,ad_net_tx_mb,cart_cpu,cart_mem_mb,cart_mem_pct,cart_net_rx_mb,cart_net_tx_mb,checkout_cpu,checkout_mem_mb,checkout_mem_pct,checkout_net_rx_mb,checkout_net_tx_mb,currency_cpu,currency_mem_mb,currency_mem_pct,currency_net_rx_mb,currency_net_tx_mb,elapsed_seconds,email_cpu,email_mem_mb,email_mem_pct,email_net_rx_mb,email_net_tx_mb,fraud-detection_cpu,fraud-detection_mem_mb,fraud-detection_mem_pct,fraud-detection_net_rx_mb,fraud-detection_net_tx_mb,frontend_cpu,frontend_mem_mb,frontend_mem_pct,frontend_net_rx_mb,frontend_net_tx_mb,payment_cpu,payment_mem_mb,payment_mem_pct,payment_net_rx_mb,payment_net_tx_mb,product-catalog_cpu,product-catalog_mem_mb,product-catalog_mem_pct,product-catalog_net_rx_mb,product-catalog_net_tx_mb,recommendation_cpu,recommendation_mem_mb,recommendation_mem_pct,recommendation_net_rx_mb,recommendation_net_tx_mb,shipping_cpu,shipping_mem_mb,shipping_mem_pct,shipping_net_rx_mb,shipping_net_tx_mb,timestamp,total_cpu,total_memory_mb,total_net_rx_mb,total_net_tx_mb
0.31,119.2,99.31,2.05,3.51,0.13,285.5,95.16,0.27734375,1.6,0.1,77.56,48.47,20.5,73.4,0.05,12.73,63.67,1.31,4.3,0.11,3.379,16.89,0.5166015625,1.12,0.00010967254638671875,0.09,48.42,48.42,0.3642578125,0.3388671875,0.51,296.3,98.77,1.64,3.8,0.48,106.5,42.6,126.0,310.0,1.03,94.87,79.06,0.2861328125,1.7,0.15,12.6,63.01,28.7,197.0,1.0,45.58,9.12,75.7,30.9,0.15,5.965,29.82,0.5185546875,1.25,2025-10-13T01:22:56.429784,113.87,4397.266,1477.0091210937499,1523.994963912964
0.31,119.2,99.31,2.05,3.51,0.11,285.5,95.17,0.27734375,1.6,0.07,77.58,48.49,20.5,73.4,0.02,12.71,63.57,1.31,4.3,0.07,3.379,16.89,0.5166015625,1.12,7.675275564193726,0.05,48.42,48.42,0.3642578125,0.3388671875,0.54,296.4,98.79,1.64,3.8,0.43,106.5,42.6,126.0,310.0,0.85,94.87,79.06,0.287109375,1.7,0.52,12.86,64.28,28.7,197.0,0.86,45.58,9.12,75.7,30.9,0.14,5.965,29.82,0.5185546875,1.25,2025-10-13T01:23:04.104953,124.26999999999998,4392.125999999999,1477.3100976562498,1524.5049639129638
