timestamp,service_name,cpu_cores,memory_bytes,cpu_millicores,memory_mb,memory_gb
2026-02-01T03:07:04.178428,carts,0.003,351272960,3,335,0.3271484375
2026-02-01T03:07:04.178428,carts,0.009,122683392,9,117,0.1142578125
2026-02-01T03:07:04.178428,catalogue,0.002,15728640,2,15,0.0146484375
2026-02-01T03:07:04.178428,catalogue,0.002,211812352,2,202,0.197265625
2026-02-01T03:07:04.178428,front,0.004,65011712,4,62,0.060546875
2026-02-01T03:07:04.178428,orders,0.003,363855872,3,347,0.3388671875
2026-02-01T03:07:04.178428,orders,0.009,119537664,9,114,0.111328125
2026-02-01T03:07:04.178428,payment,0.001,12582912,1,12,0.01171875
2026-02-01T03:07:04.178428,queue,0.003,318767104,3,304,0.296875
2026-02-01T03:07:04.178428,rabbitmq,0.069,131072000,69,125,0.1220703125
2026-02-01T03:07:04.178428,session,0.003,5242880,3,5,0.0048828125
2026-02-01T03:07:04.178428,shipping,0.005,330301440,5,315,0.3076171875
2026-02-01T03:07:04.178428,user,0.002,13631488,2,13,0.0126953125
2026-02-01T03:07:04.178428,user,0.007,48234496,7,46,0.044921875
2026-02-01T03:07:14.249042,carts,0.003,351272960,3,335,0.3271484375
2026-02-01T03:07:14.249042,carts,0.009,122683392,9,117,0.1142578125
2026-02-01T03:07:14.249042,catalogue,0.002,15728640,2,15,0.0146484375
2026-02-01T03:07:14.249042,catalogue,0.002,211812352,2,202,0.197265625
2026-02-01T03:07:14.249042,front,0.004,65011712,4,62,0.060546875
2026-02-01T03:07:14.249042,orders,0.003,363855872,3,347,0.3388671875
2026-02-01T03:07:14.249042,orders,0.009,119537664,9,114,0.111328125
2026-02-01T03:07:14.249042,payment,0.001,12582912,1,12,0.01171875
2026-02-01T03:07:14.249042,queue,0.003,318767104,3,304,0.296875
2026-02-01T03:07:14.249042,rabbitmq,0.069,131072000,69,125,0.1220703125
2026-02-01T03:07:14.249042,session,0.003,5242880,3,5,0.0048828125
2026-02-01T03:07:14.249042,shipping,0.005,330301440,5,315,0.3076171875
2026-02-01T03:07:14.249042,user,0.002,13631488,2,13,0.0126953125
2026-02-01T03:07:14.249042,user,0.007,48234496,7,46,0.044921875
2026-02-01T03:07:24.324945,carts,0.003,351272960,3,335,0.3271484375
2026-02-01T03:07:24.324945,carts,0.009,122683392,9,117,0.1142578125
2026-02-01T03:07:24.324945,catalogue,0.002,15728640,2,15,0.0146484375
2026-02-01T03:07:24.324945,catalogue,0.002,211812352,2,202,0.197265625
2026-02-01T03:07:24.324945,front,0.004,65011712,4,62,0.060546875
2026-02-01T03:07:24.324945,orders,0.003,363855872,3,347,0.3388671875
2026-02-01T03:07:24.324945,orders,0.009,119537664,9,114,0.111328125
2026-02-01T03:07:24.324945,payment,0.001,12582912,1,12,0.01171875
2026-02-01T03:07:24.324945,queue,0.003,318767104,3,304,0.296875
2026-02-01T03:07:24.324945,rabbitmq,0.069,131072000,69,125,0.1220703125
2026-02-01T03:07:24.324945,session,0.003,5242880,3,5,0.0048828125
2026-02-01T03:07:24.324945,shipping,0.005,330301440,5,315,0.3076171875
2026-02-01T03:07:24.324945,user,0.002,13631488,2,13,0.0126953125
2026-02-01T03:07:24.324945,user,0.007,48234496,7,46,0.044921875
2026-02-01T03:07:34.456353,carts,0.003,351272960,3,335,0.3271484375
