timestamp,service_name,cpu_cores,memory_bytes,cpu_millicores,memory_mb,memory_gb
2026-02-01T02:58:13.796174,carts,0.002,351272960,2,335,0.3271484375
2026-02-01T02:58:13.796174,carts,0.008,122683392,8,117,0.1142578125
2026-02-01T02:58:13.796174,catalogue,0.001,15728640,1,15,0.0146484375
2026-02-01T02:58:13.796174,catalogue,0.001,211812352,1,202,0.197265625
2026-02-01T02:58:13.796174,front,0.003,69206016,3,66,0.064453125
2026-02-01T02:58:13.796174,orders,0.002,363855872,2,347,0.3388671875
2026-02-01T02:58:13.796174,orders,0.008,119537664,8,114,0.111328125
2026-02-01T02:58:13.796174,payment,0.001,12582912,1,12,0.01171875
2026-02-01T02:58:13.796174,queue,0.002,318767104,2,304,0.296875
2026-02-01T02:58:13.796174,rabbitmq,0.066,128974848,66,123,0.1201171875
2026-02-01T02:58:13.796174,session,0.003,5242880,3,5,0.0048828125
2026-02-01T02:58:13.796174,shipping,0.002,330301440,2,315,0.3076171875
2026-02-01T02:58:13.796174,user,0.002,13631488,2,13,0.0126953125
2026-02-01T02:58:13.796174,user,0.006,48234496,6,46,0.044921875
2026-02-01T02:58:23.877827,carts,0.002,351272960,2,335,0.3271484375
2026-02-01T02:58:23.877827,carts,0.008,122683392,8,117,0.1142578125
2026-02-01T02:58:23.877827,catalogue,0.001,15728640,1,15,0.0146484375
2026-02-01T02:58:23.877827,catalogue,0.001,211812352,1,202,0.197265625
2026-02-01T02:58:23.877827,front,0.003,69206016,3,66,0.064453125
2026-02-01T02:58:23.877827,orders,0.002,363855872,2,347,0.3388671875
2026-02-01T02:58:23.877827,orders,0.008,119537664,8,114,0.111328125
2026-02-01T02:58:23.877827,payment,0.001,12582912,1,12,0.01171875
2026-02-01T02:58:23.877827,queue,0.002,318767104,2,304,0.296875
2026-02-01T02:58:23.877827,rabbitmq,0.066,128974848,66,123,0.1201171875
2026-02-01T02:58:23.877827,session,0.003,5242880,3,5,0.0048828125
2026-02-01T02:58:23.877827,shipping,0.002,330301440,2,315,0.3076171875
2026-02-01T02:58:23.877827,user,0.002,13631488,2,13,0.0126953125
2026-02-01T02:58:23.877827,user,0.006,48234496,6,46,0.044921875
2026-02-01T02:58:33.988835,carts,0.002,351272960,2,335,0.3271484375
2026-02-01T02:58:33.988835,carts,0.008,122683392,8,117,0.1142578125
2026-02-01T02:58:33.988835,catalogue,0.001,15728640,1,15,0.0146484375
2026-02-01T02:58:33.988835,catalogue,0.001,211812352,1,202,0.197265625
2026-02-01T02:58:33.988835,front,0.003,69206016,3,66,0.064453125
2026-02-01T02:58:33.988835,orders,0.002,363855872,2,347,0.3388671875
