timestamp,container_id,container_name,service_name,cpu_percent,memory_usage_bytes,memory_limit_bytes,memory_percent,network_rx_bytes,network_tx_bytes,block_read_bytes,block_write_bytes,pids
2026-02-14T00:33:10.584604,903f8259fc4263722d48c7c4de8df02a86a1e992d84d7cff3806139aecd373e5,docker-compose-carts-db-1,carts-db,0.42,60314091,8178691473,0.74,422912,514048,46347059,16462643,27
2026-02-14T00:33:10.584604,ca9e181b5f50e52678a185a1b31d81547d31a5c55d1f4a11a0af4d0eced0475e,docker-compose-catalogue-1,catalogue,0.0,4497342,8178691473,0.05,576512,2841640,11534336,0,29
2026-02-14T00:33:10.584604,1580cbab975b17d2771216109621c3305479c3f28ac834a07614638c33a60bad,docker-compose-payment-1,payment,0.0,2400190,8178691473,0.03,4925,126,7885291,0,8
2026-02-14T00:33:10.584604,cad6733795d5db4e9d14c1e2ce739a03d5bb8e23470fb6472da5d9ffb28aa6b8,docker-compose-rabbitmq-1,rabbitmq,2.93,119118233,8178691473,1.46,57856,51609,39426457,92262,417
2026-02-14T00:33:10.584604,c484df14cf9555595101fed9083252b3cd2b567a826a04fb6a950245ced177c5,docker-compose-user-db-1,user-db,0.6,35431383,8178691473,0.43,200704,177152,38377881,13421772,19
2026-02-14T00:33:10.584604,22cb0d5864c6e2dd1385233dfc44903591970819d2f4a1eef2c5555ae1592630,docker-compose-catalogue-db-1,catalogue-db,0.07,214119219,8178691473,2.62,91545,466944,39216742,13946060,30
2026-02-14T00:33:10.584604,5cd7aa3b9c45ba85c778862afcfa1d65621a7c0ebca6f7162b9dd8fbb75fbfbe,docker-compose-user-1,user,0.04,4787798,8178691473,0.06,182272,197632,9332326,0,29
2026-02-14T00:33:10.584604,e056e055703b3e50e33a476b5cc2294cee18b03c5536329e5270bccd01106bf7,docker-compose-orders-db-1,orders-db,0.8,35892756,8178691473,0.44,201728,282624,712704,15623782,21
2026-02-14T00:33:10.584604,660e3a83c6c08d30a2a0775de2ecfc85323e2ec44171d0b661e398cdb6bc7b0e,docker-compose-queue-master-1,queue-master,0.13,700239052,8178691473,8.56,56934,53350,28940697,0,51
2026-02-14T00:33:10.584604,67f287b39ebd4e5e0d2d3c035a8c2d6f8e9be96929cad0a1c38c390d207ecb0f,docker-compose-front-end-1,front-end,0.0,72267857,8178691473,0.88,3596615,10338959,31352422,0,21
