timestamp,service_name,cpu_cores,memory_bytes,cpu_millicores,memory_mb,memory_gb
2026-02-01T02:43:18.950396,carts,0.002,351272960,2,335,0.3271484375
2026-02-01T02:43:18.950396,carts,0.009,122683392,9,117,0.1142578125
2026-02-01T02:43:18.950396,catalogue,0.001,15728640,1,15,0.0146484375
2026-02-01T02:43:18.950396,catalogue,0.001,211812352,1,202,0.197265625
2026-02-01T02:43:18.950396,front,0.004,67108864,4,64,0.0625
2026-02-01T02:43:18.950396,orders,0.002,363855872,2,347,0.3388671875
2026-02-01T02:43:18.950396,orders,0.009,119537664,9,114,0.111328125
2026-02-01T02:43:18.950396,payment,0.001,12582912,1,12,0.01171875
2026-02-01T02:43:18.950396,queue,0.002,318767104,2,304,0.296875
2026-02-01T02:43:18.950396,rabbitmq,0.07,128974848,70,123,0.1201171875
2026-02-01T02:43:18.950396,session,0.003,5242880,3,5,0.0048828125
2026-02-01T02:43:18.950396,shipping,0.002,331350016,2,316,0.30859375
2026-02-01T02:43:18.950396,user,0.002,12582912,2,12,0.01171875
2026-02-01T02:43:18.950396,user,0.007,48234496,7,46,0.044921875
2026-02-01T02:43:29.087810,carts,0.002,351272960,2,335,0.3271484375
2026-02-01T02:43:29.087810,carts,0.009,122683392,9,117,0.1142578125
2026-02-01T02:43:29.087810,catalogue,0.001,15728640,1,15,0.0146484375
2026-02-01T02:43:29.087810,catalogue,0.001,211812352,1,202,0.197265625
2026-02-01T02:43:29.087810,front,0.004,67108864,4,64,0.0625
2026-02-01T02:43:29.087810,orders,0.002,363855872,2,347,0.3388671875
2026-02-01T02:43:29.087810,orders,0.009,119537664,9,114,0.111328125
2026-02-01T02:43:29.087810,payment,0.001,12582912,1,12,0.01171875
2026-02-01T02:43:29.087810,queue,0.002,318767104,2,304,0.296875
2026-02-01T02:43:29.087810,rabbitmq,0.07,128974848,70,123,0.1201171875
2026-02-01T02:43:29.087810,session,0.003,5242880,3,5,0.0048828125
2026-02-01T02:43:29.087810,shipping,0.002,331350016,2,316,0.30859375
2026-02-01T02:43:29.087810,user,0.002,12582912,2,12,0.01171875
2026-02-01T02:43:29.087810,user,0.007,48234496,7,46,0.044921875
2026-02-01T02:43:39.180121,carts,0.002,351272960,2,335,0.3271484375
2026-02-01T02:43:39.180121,carts,0.009,122683392,9,117,0.1142578125
2026-02-01T02:43:39.180121,catalogue,0.001,15728640,1,15,0.0146484375
