timestamp,container_id,container_name,service_name,cpu_percent,memory_usage_bytes,memory_limit_bytes,memory_percent,network_rx_bytes,network_tx_bytes,block_read_bytes,block_write_bytes,pids
2026-02-14T00:39:36.520979,903f8259fc4263722d48c7c4de8df02a86a1e992d84d7cff3806139aecd373e5,docker-compose-carts-db-1,carts-db,0.38,60418949,8178691473,0.74,430080,524288,46451916,17091788,27
2026-02-14T00:39:36.520979,ca9e181b5f50e52678a185a1b31d81547d31a5c55d1f4a11a0af4d0eced0475e,docker-compose-catalogue-1,catalogue,0.0,4497342,8178691473,0.05,576512,2841640,11534336,0,29
2026-02-14T00:39:36.520979,1580cbab975b17d2771216109621c3305479c3f28ac834a07614638c33a60bad,docker-compose-payment-1,payment,0.0,2400190,8178691473,0.03,4925,126,7885291,0,8
2026-02-14T00:39:36.520979,cad6733795d5db4e9d14c1e2ce739a03d5bb8e23470fb6472da5d9ffb28aa6b8,docker-compose-rabbitmq-1,rabbitmq,4.48,120166809,8178691473,1.47,59699,53452,39636172,92262,417
2026-02-14T00:39:36.520979,c484df14cf9555595101fed9083252b3cd2b567a826a04fb6a950245ced177c5,docker-compose-user-db-1,user-db,0.6,35913728,8178691473,0.44,207872,183296,38377881,13946060,19
2026-02-14T00:39:36.520979,22cb0d5864c6e2dd1385233dfc44903591970819d2f4a1eef2c5555ae1592630,docker-compose-catalogue-db-1,catalogue-db,0.09,214119219,8178691473,2.62,91545,466944,39216742,13946060,30
2026-02-14T00:39:36.520979,5cd7aa3b9c45ba85c778862afcfa1d65621a7c0ebca6f7162b9dd8fbb75fbfbe,docker-compose-user-1,user,0.0,4742709,8178691473,0.06,188416,204800,9332326,0,29
2026-02-14T00:39:36.520979,e056e055703b3e50e33a476b5cc2294cee18b03c5536329e5270bccd01106bf7,docker-compose-orders-db-1,orders-db,0.34,35525754,8178691473,0.43,208896,291840,726016,16148070,21
2026-02-14T00:39:36.520979,660e3a83c6c08d30a2a0775de2ecfc85323e2ec44171d0b661e398cdb6bc7b0e,docker-compose-queue-master-1,queue-master,0.12,700239052,8178691473,8.56,58777,55193,28940697,0,51
2026-02-14T00:39:36.520979,67f287b39ebd4e5e0d2d3c035a8c2d6f8e9be96929cad0a1c38c390d207ecb0f,docker-compose-front-end-1,front-end,0.0,72142028,8178691473,0.88,3596615,10338959,31352422,0,21
2026-02-14T00:39:36.520979,0bf13c000e982375740c42dbb4184c1a1f4ae83b659aeb13ab6e30ff9f52e84b,docker-compose-carts-1,carts,0.18,407057203,8178691473,4.98,583680,481280,28730982,0,84
2026-02-14T00:39:36.520979,8656ebe60cc49d97d04ebabf7b5f31a285230710121dbbaac4f880e685f01ff2,docker-compose-shipping-1,shipping,0.15,389126553,8178691473,4.76,4833,126,19398656,0,72
2026-02-14T00:39:36.520979,e9bd4023941beabde75e101671ae3fbaab7c25acd1d39521251d28a21bbd1c23,docker-compose-edge-router-1,edge-router,0.02,7352614,8178691473,0.09,10905190,10905190,14575206,0,31
2026-02-14T00:39:36.520979,f8eacc8ae718d74510cdadf203f01b663418694f0b7432d83262e35e339facd2,docker-compose-orders-1,orders,0.21,392691712,8178691473,4.8,297984,203776,38063308,0,74
2026-02-14T00:39:36.520979,d8ca37375dd7630359e05e9c47efadc82552c88bd94b52b4b0d9db1be3cb3976,phca_telegraf,phca_telegraf,0.17,30723276,8178691473,0.38,7362,252,128974848,0,14
2026-02-14T00:39:36.520979,4f632a9c959096a6c33d0cb7bc1ebd8f67e96fa5ec15c4fdfd1df23c494d4779,phca_grafana,phca_grafana,0.39,90796195,8178691473,1.11,5169479,13946060,305135616,19084083,20
2026-02-14T00:39:36.520979,09aca02505b85dacf851f8d02eb93c057662f5b3a9c6be596b590d839d87a43f,phca_influxdb,phca_influxdb,0.06,64434995,8178691473,0.79,472064,15833497,121634816,494592,25
2026-02-14T00:39:44.311361,903f8259fc4263722d48c7c4de8df02a86a1e992d84d7cff3806139aecd373e5,docker-compose-carts-db-1,carts-db,0.91,60681093,8178691473,0.74,430080,524288,46451916,17091788,27
2026-02-14T00:39:44.311361,ca9e181b5f50e52678a185a1b31d81547d31a5c55d1f4a11a0af4d0eced0475e,docker-compose-catalogue-1,catalogue,0.01,4497342,8178691473,0.05,576512,2841640,11534336,0,29
2026-02-14T00:39:44.311361,1580cbab975b17d2771216109621c3305479c3f28ac834a07614638c33a60bad,docker-compose-payment-1,payment,0.0,2400190,8178691473,0.03,4925,126,7885291,0,8
2026-02-14T00:39:44.311361,cad6733795d5db4e9d14c1e2ce739a03d5bb8e23470fb6472da5d9ffb28aa6b8,docker-compose-rabbitmq-1,rabbitmq,4.39,119747379,8178691473,1.46,59699,53452,39636172,92262,417
2026-02-14T00:39:44.311361,c484df14cf9555595101fed9083252b3cd2b567a826a04fb6a950245ced177c5,docker-compose-user-db-1,user-db,0.58,35871784,8178691473,0.44,207872,183296,38377881,13946060,19
2026-02-14T00:39:44.311361,22cb0d5864c6e2dd1385233dfc44903591970819d2f4a1eef2c5555ae1592630,docker-compose-catalogue-db-1,catalogue-db,0.1,214119219,8178691473,2.62,91545,466944,39216742,13946060,30
2026-02-14T00:39:44.311361,5cd7aa3b9c45ba85c778862afcfa1d65621a7c0ebca6f7162b9dd8fbb75fbfbe,docker-compose-user-1,user,0.01,4742709,8178691473,0.06,189440,204800,9332326,0,29
2026-02-14T00:39:44.311361,e056e055703b3e50e33a476b5cc2294cee18b03c5536329e5270bccd01106bf7,docker-compose-orders-db-1,orders-db,0.39,35525754,8178691473,0.43,208896,292864,726016,16148070,21
2026-02-14T00:39:44.311361,660e3a83c6c08d30a2a0775de2ecfc85323e2ec44171d0b661e398cdb6bc7b0e,docker-compose-queue-master-1,queue-master,0.21,700239052,8178691473,8.56,58777,55193,28940697,0,51
2026-02-14T00:39:44.311361,67f287b39ebd4e5e0d2d3c035a8c2d6f8e9be96929cad0a1c38c390d207ecb0f,docker-compose-front-end-1,front-end,0.0,72142028,8178691473,0.88,3596615,10338959,31352422,0,21
2026-02-14T00:39:44.311361,0bf13c000e982375740c42dbb4184c1a1f4ae83b659aeb13ab6e30ff9f52e84b,docker-compose-carts-1,carts,0.17,407057203,8178691473,4.98,583680,481280,28730982,0,84
2026-02-14T00:39:44.311361,8656ebe60cc49d97d04ebabf7b5f31a285230710121dbbaac4f880e685f01ff2,docker-compose-shipping-1,shipping,0.19,389126553,8178691473,4.76,4833,126,19398656,0,72
2026-02-14T00:39:44.311361,e9bd4023941beabde75e101671ae3fbaab7c25acd1d39521251d28a21bbd1c23,docker-compose-edge-router-1,edge-router,0.11,7352614,8178691473,0.09,10905190,10905190,14575206,0,31
2026-02-14T00:39:44.311361,f8eacc8ae718d74510cdadf203f01b663418694f0b7432d83262e35e339facd2,docker-compose-orders-1,orders,0.16,392691712,8178691473,4.8,297984,204800,38063308,0,74
2026-02-14T00:39:44.311361,d8ca37375dd7630359e05e9c47efadc82552c88bd94b52b4b0d9db1be3cb3976,phca_telegraf,phca_telegraf,0.23,30985420,8178691473,0.38,7362,252,128974848,0,14
2026-02-14T00:39:44.311361,4f632a9c959096a6c33d0cb7bc1ebd8f67e96fa5ec15c4fdfd1df23c494d4779,phca_grafana,phca_grafana,0.52,90796195,8178691473,1.11,5169479,13946060,305135616,19084083,20
2026-02-14T00:39:44.311361,09aca02505b85dacf851f8d02eb93c057662f5b3a9c6be596b590d839d87a43f,phca_influxdb,phca_influxdb,0.05,64434995,8178691473,0.79,472064,15833497,121634816,494592,25
2026-02-14T00:39:52.080986,903f8259fc4263722d48c7c4de8df02a86a1e992d84d7cff3806139aecd373e5,docker-compose-carts-db-1,carts-db,0.42,60691578,8178691473,0.74,430080,525312,46451916,17091788,27
2026-02-14T00:39:52.080986,ca9e181b5f50e52678a185a1b31d81547d31a5c55d1f4a11a0af4d0eced0475e,docker-compose-catalogue-1,catalogue,0.0,4497342,8178691473,0.05,576512,2841640,11534336,0,29
2026-02-14T00:39:52.080986,1580cbab975b17d2771216109621c3305479c3f28ac834a07614638c33a60bad,docker-compose-payment-1,payment,0.0,2400190,8178691473,0.03,4925,126,7885291,0,8
