timestamp,service_name,cpu_cores,memory_bytes,cpu_millicores,memory_mb,memory_gb
2026-02-01T03:18:51.007882,carts,0.026,363855872,26,347,0.3388671875
2026-02-01T03:18:51.007882,carts,0.008,125829120,8,120,0.1171875
2026-02-01T03:18:51.007882,catalogue,0.005,16777216,5,16,0.015625
2026-02-01T03:18:51.007882,catalogue,0.003,213909504,3,204,0.19921875
2026-02-01T03:18:51.007882,front,0.031,76546048,31,73,0.0712890625
2026-02-01T03:18:51.007882,orders,0.003,363855872,3,347,0.3388671875
2026-02-01T03:18:51.007882,orders,0.008,119537664,8,114,0.111328125
2026-02-01T03:18:51.007882,payment,0.001,12582912,1,12,0.01171875
2026-02-01T03:18:51.007882,queue,0.004,318767104,4,304,0.296875
2026-02-01T03:18:51.007882,rabbitmq,0.071,131072000,71,125,0.1220703125
2026-02-01T03:18:51.007882,session,0.004,5242880,4,5,0.0048828125
2026-02-01T03:18:51.007882,shipping,0.004,330301440,4,315,0.3076171875
2026-02-01T03:18:51.007882,user,0.002,13631488,2,13,0.0126953125
2026-02-01T03:18:51.007882,user,0.006,48234496,6,46,0.044921875
