timestamp,service_name,cpu_cores,memory_bytes,cpu_millicores,memory_mb,memory_gb
2026-02-01T03:01:54.950394,carts,0.005,351272960,5,335,0.3271484375
2026-02-01T03:01:54.950394,carts,0.008,122683392,8,117,0.1142578125
2026-02-01T03:01:54.950394,catalogue,0.001,15728640,1,15,0.0146484375
2026-02-01T03:01:54.950394,catalogue,0.002,211812352,2,202,0.197265625
2026-02-01T03:01:54.950394,front,0.004,66060288,4,63,0.0615234375
2026-02-01T03:01:54.950394,orders,0.003,363855872,3,347,0.3388671875
2026-02-01T03:01:54.950394,orders,0.008,119537664,8,114,0.111328125
2026-02-01T03:01:54.950394,payment,0.001,12582912,1,12,0.01171875
2026-02-01T03:01:54.950394,queue,0.002,318767104,2,304,0.296875
2026-02-01T03:01:54.950394,rabbitmq,0.066,128974848,66,123,0.1201171875
2026-02-01T03:01:54.950394,session,0.003,5242880,3,5,0.0048828125
2026-02-01T03:01:54.950394,shipping,0.002,330301440,2,315,0.3076171875
2026-02-01T03:01:54.950394,user,0.001,13631488,1,13,0.0126953125
2026-02-01T03:01:54.950394,user,0.006,48234496,6,46,0.044921875
2026-02-01T03:02:00.046099,carts,0.005,351272960,5,335,0.3271484375
2026-02-01T03:02:00.046099,carts,0.008,122683392,8,117,0.1142578125
2026-02-01T03:02:00.046099,catalogue,0.001,15728640,1,15,0.0146484375
2026-02-01T03:02:00.046099,catalogue,0.002,211812352,2,202,0.197265625
2026-02-01T03:02:00.046099,front,0.004,66060288,4,63,0.0615234375
2026-02-01T03:02:00.046099,orders,0.003,363855872,3,347,0.3388671875
2026-02-01T03:02:00.046099,orders,0.008,119537664,8,114,0.111328125
2026-02-01T03:02:00.046099,payment,0.001,12582912,1,12,0.01171875
2026-02-01T03:02:00.046099,queue,0.002,318767104,2,304,0.296875
2026-02-01T03:02:00.046099,rabbitmq,0.066,128974848,66,123,0.1201171875
2026-02-01T03:02:00.046099,session,0.003,5242880,3,5,0.0048828125
2026-02-01T03:02:00.046099,shipping,0.002,330301440,2,315,0.3076171875
2026-02-01T03:02:00.046099,user,0.001,13631488,1,13,0.0126953125
2026-02-01T03:02:00.046099,user,0.006,48234496,6,46,0.044921875
2026-02-01T03:02:05.172335,carts,0.005,351272960,5,335,0.3271484375
2026-02-01T03:02:05.172335,carts,0.008,122683392,8,117,0.1142578125
2026-02-01T03:02:05.172335,catalogue,0.001,15728640,1,15,0.0146484375
2026-02-01T03:02:05.172335,catalogue,0.002,211812352,2,202,0.197265625
2026-02-01T03:02:05.172335,front,0.004,66060288,4,63,0.0615234375
2026-02-01T03:02:05.172335,orders,0.003,363855872,3,347,0.3388671875
2026-02-01T03:02:05.172335,orders,0.008,119537664,8,114,0.111328125
2026-02-01T03:02:05.172335,payment,0.001,12582912,1,12,0.01171875
2026-02-01T03:02:05.172335,queue,0.002,318767104,2,304,0.296875
2026-02-01T03:02:05.172335,rabbitmq,0.066,128974848,66,123,0.1201171875
2026-02-01T03:02:05.172335,session,0.003,5242880,3,5,0.0048828125
2026-02-01T03:02:05.172335,shipping,0.002,330301440,2,315,0.3076171875
2026-02-01T03:02:05.172335,user,0.001,13631488,1,13,0.0126953125
2026-02-01T03:02:05.172335,user,0.006,48234496,6,46,0.044921875
2026-02-01T03:02:10.266880,carts,0.005,351272960,5,335,0.3271484375
2026-02-01T03:02:10.266880,carts,0.008,122683392,8,117,0.1142578125
2026-02-01T03:02:10.266880,catalogue,0.001,15728640,1,15,0.0146484375
2026-02-01T03:02:10.266880,catalogue,0.002,211812352,2,202,0.197265625
2026-02-01T03:02:10.266880,front,0.004,66060288,4,63,0.0615234375
2026-02-01T03:02:10.266880,orders,0.003,363855872,3,347,0.3388671875
2026-02-01T03:02:10.266880,orders,0.008,119537664,8,114,0.111328125
2026-02-01T03:02:10.266880,payment,0.001,12582912,1,12,0.01171875
2026-02-01T03:02:10.266880,queue,0.002,318767104,2,304,0.296875
2026-02-01T03:02:10.266880,rabbitmq,0.066,128974848,66,123,0.1201171875
2026-02-01T03:02:10.266880,session,0.003,5242880,3,5,0.0048828125
2026-02-01T03:02:10.266880,shipping,0.002,330301440,2,315,0.3076171875
2026-02-01T03:02:10.266880,user,0.001,13631488,1,13,0.0126953125
2026-02-01T03:02:10.266880,user,0.006,48234496,6,46,0.044921875
2026-02-01T03:02:15.344020,carts,0.005,351272960,5,335,0.3271484375
2026-02-01T03:02:15.344020,carts,0.008,122683392,8,117,0.1142578125
2026-02-01T03:02:15.344020,catalogue,0.001,15728640,1,15,0.0146484375
2026-02-01T03:02:15.344020,catalogue,0.002,211812352,2,202,0.197265625
2026-02-01T03:02:15.344020,front,0.004,66060288,4,63,0.0615234375
2026-02-01T03:02:15.344020,orders,0.003,363855872,3,347,0.3388671875
2026-02-01T03:02:15.344020,orders,0.008,119537664,8,114,0.111328125
2026-02-01T03:02:15.344020,payment,0.001,12582912,1,12,0.01171875
2026-02-01T03:02:15.344020,queue,0.002,318767104,2,304,0.296875
2026-02-01T03:02:15.344020,rabbitmq,0.066,128974848,66,123,0.1201171875
2026-02-01T03:02:15.344020,session,0.003,5242880,3,5,0.0048828125
2026-02-01T03:02:15.344020,shipping,0.002,330301440,2,315,0.3076171875
2026-02-01T03:02:15.344020,user,0.001,13631488,1,13,0.0126953125
2026-02-01T03:02:15.344020,user,0.006,48234496,6,46,0.044921875
2026-02-01T03:02:20.413529,carts,0.005,351272960,5,335,0.3271484375
2026-02-01T03:02:20.413529,carts,0.008,122683392,8,117,0.1142578125
2026-02-01T03:02:20.413529,catalogue,0.001,15728640,1,15,0.0146484375
2026-02-01T03:02:20.413529,catalogue,0.002,211812352,2,202,0.197265625
2026-02-01T03:02:20.413529,front,0.004,66060288,4,63,0.0615234375
2026-02-01T03:02:20.413529,orders,0.003,363855872,3,347,0.3388671875
2026-02-01T03:02:20.413529,orders,0.008,119537664,8,114,0.111328125
2026-02-01T03:02:20.413529,payment,0.001,12582912,1,12,0.01171875
2026-02-01T03:02:20.413529,queue,0.002,318767104,2,304,0.296875
2026-02-01T03:02:20.413529,rabbitmq,0.066,128974848,66,123,0.1201171875
2026-02-01T03:02:20.413529,session,0.003,5242880,3,5,0.0048828125
2026-02-01T03:02:20.413529,shipping,0.002,330301440,2,315,0.3076171875
2026-02-01T03:02:20.413529,user,0.001,13631488,1,13,0.0126953125
2026-02-01T03:02:20.413529,user,0.006,48234496,6,46,0.044921875
2026-02-01T03:02:25.485251,carts,0.005,351272960,5,335,0.3271484375
2026-02-01T03:02:25.485251,carts,0.008,122683392,8,117,0.1142578125
2026-02-01T03:02:25.485251,catalogue,0.001,15728640,1,15,0.0146484375
2026-02-01T03:02:25.485251,catalogue,0.002,211812352,2,202,0.197265625
2026-02-01T03:02:25.485251,front,0.004,66060288,4,63,0.0615234375
2026-02-01T03:02:25.485251,orders,0.003,363855872,3,347,0.3388671875
2026-02-01T03:02:25.485251,orders,0.008,119537664,8,114,0.111328125
2026-02-01T03:02:25.485251,payment,0.001,12582912,1,12,0.01171875
2026-02-01T03:02:25.485251,queue,0.002,318767104,2,304,0.296875
2026-02-01T03:02:25.485251,rabbitmq,0.066,128974848,66,123,0.1201171875
2026-02-01T03:02:25.485251,session,0.003,5242880,3,5,0.0048828125
2026-02-01T03:02:25.485251,shipping,0.002,330301440,2,315,0.3076171875
