timestamp,service_name,cpu_cores,memory_bytes,cpu_millicores,memory_mb,memory_gb
2026-02-01T02:46:25.349213,carts,0.002,351272960,2,335,0.3271484375
2026-02-01T02:46:25.349213,carts,0.008,122683392,8,117,0.1142578125
2026-02-01T02:46:25.349213,catalogue,0.001,15728640,1,15,0.0146484375
2026-02-01T02:46:25.349213,catalogue,0.001,211812352,1,202,0.197265625
2026-02-01T02:46:25.349213,front,0.003,69206016,3,66,0.064453125
2026-02-01T02:46:25.349213,orders,0.002,363855872,2,347,0.3388671875
2026-02-01T02:46:25.349213,orders,0.008,119537664,8,114,0.111328125
2026-02-01T02:46:25.349213,payment,0.001,12582912,1,12,0.01171875
2026-02-01T02:46:25.349213,queue,0.002,318767104,2,304,0.296875
2026-02-01T02:46:25.349213,rabbitmq,0.074,130023424,74,124,0.12109375
2026-02-01T02:46:25.349213,session,0.003,5242880,3,5,0.0048828125
2026-02-01T02:46:25.349213,shipping,0.002,331350016,2,316,0.30859375
2026-02-01T02:46:25.349213,user,0.002,12582912,2,12,0.01171875
2026-02-01T02:46:25.349213,user,0.006,48234496,6,46,0.044921875
2026-02-01T02:46:30.464112,carts,0.002,351272960,2,335,0.3271484375
2026-02-01T02:46:30.464112,carts,0.008,122683392,8,117,0.1142578125
2026-02-01T02:46:30.464112,catalogue,0.001,15728640,1,15,0.0146484375
2026-02-01T02:46:30.464112,catalogue,0.001,211812352,1,202,0.197265625
2026-02-01T02:46:30.464112,front,0.003,69206016,3,66,0.064453125
2026-02-01T02:46:30.464112,orders,0.002,363855872,2,347,0.3388671875
2026-02-01T02:46:30.464112,orders,0.008,119537664,8,114,0.111328125
2026-02-01T02:46:30.464112,payment,0.001,12582912,1,12,0.01171875
2026-02-01T02:46:30.464112,queue,0.002,318767104,2,304,0.296875
2026-02-01T02:46:30.464112,rabbitmq,0.074,130023424,74,124,0.12109375
2026-02-01T02:46:30.464112,session,0.003,5242880,3,5,0.0048828125
2026-02-01T02:46:30.464112,shipping,0.002,331350016,2,316,0.30859375
2026-02-01T02:46:30.464112,user,0.002,12582912,2,12,0.01171875
2026-02-01T02:46:30.464112,user,0.006,48234496,6,46,0.044921875
2026-02-01T02:46:35.543203,carts,0.002,351272960,2,335,0.3271484375
2026-02-01T02:46:35.543203,carts,0.008,122683392,8,117,0.1142578125
2026-02-01T02:46:35.543203,catalogue,0.001,15728640,1,15,0.0146484375
2026-02-01T02:46:35.543203,catalogue,0.001,211812352,1,202,0.197265625
2026-02-01T02:46:35.543203,front,0.003,69206016,3,66,0.064453125
2026-02-01T02:46:35.543203,orders,0.002,363855872,2,347,0.3388671875
2026-02-01T02:46:35.543203,orders,0.008,119537664,8,114,0.111328125
2026-02-01T02:46:35.543203,payment,0.001,12582912,1,12,0.01171875
2026-02-01T02:46:35.543203,queue,0.002,318767104,2,304,0.296875
2026-02-01T02:46:35.543203,rabbitmq,0.074,130023424,74,124,0.12109375
2026-02-01T02:46:35.543203,session,0.003,5242880,3,5,0.0048828125
2026-02-01T02:46:35.543203,shipping,0.002,331350016,2,316,0.30859375
2026-02-01T02:46:35.543203,user,0.002,12582912,2,12,0.01171875
2026-02-01T02:46:35.543203,user,0.006,48234496,6,46,0.044921875
2026-02-01T02:46:40.629546,carts,0.002,351272960,2,335,0.3271484375
2026-02-01T02:46:40.629546,carts,0.008,122683392,8,117,0.1142578125
2026-02-01T02:46:40.629546,catalogue,0.001,15728640,1,15,0.0146484375
2026-02-01T02:46:40.629546,catalogue,0.001,211812352,1,202,0.197265625
2026-02-01T02:46:40.629546,front,0.003,69206016,3,66,0.064453125
2026-02-01T02:46:40.629546,orders,0.002,363855872,2,347,0.3388671875
2026-02-01T02:46:40.629546,orders,0.008,119537664,8,114,0.111328125
2026-02-01T02:46:40.629546,payment,0.001,12582912,1,12,0.01171875
2026-02-01T02:46:40.629546,queue,0.002,318767104,2,304,0.296875
2026-02-01T02:46:40.629546,rabbitmq,0.074,130023424,74,124,0.12109375
2026-02-01T02:46:40.629546,session,0.003,5242880,3,5,0.0048828125
2026-02-01T02:46:40.629546,shipping,0.002,331350016,2,316,0.30859375
2026-02-01T02:46:40.629546,user,0.002,12582912,2,12,0.01171875
2026-02-01T02:46:40.629546,user,0.006,48234496,6,46,0.044921875
