timestamp,service_name,cpu_cores,memory_bytes,cpu_millicores,memory_mb,memory_gb
2026-02-01T03:47:20.670682,carts,0.106,363855872,106,347,0.3388671875
2026-02-01T03:47:20.670682,carts,0.011,125829120,11,120,0.1171875
2026-02-01T03:47:20.670682,catalogue,0.009,16777216,9,16,0.015625
2026-02-01T03:47:20.670682,catalogue,0.006,213909504,6,204,0.19921875
2026-02-01T03:47:20.670682,front,0.066,102760448,66,98,0.095703125
2026-02-01T03:47:20.670682,orders,0.002,363855872,2,347,0.3388671875
2026-02-01T03:47:20.670682,orders,0.01,119537664,10,114,0.111328125
2026-02-01T03:47:20.670682,payment,0.002,12582912,2,12,0.01171875
2026-02-01T03:47:20.670682,queue,0.002,318767104,2,304,0.296875
2026-02-01T03:47:20.670682,rabbitmq,0.079,128974848,79,123,0.1201171875
2026-02-01T03:47:20.670682,session,0.005,5242880,5,5,0.0048828125
2026-02-01T03:47:20.670682,shipping,0.003,330301440,3,315,0.3076171875
2026-02-01T03:47:20.670682,user,0.002,13631488,2,13,0.0126953125
2026-02-01T03:47:20.670682,user,0.007,48234496,7,46,0.044921875
2026-02-01T03:47:25.763293,carts,0.106,363855872,106,347,0.3388671875
2026-02-01T03:47:25.763293,carts,0.011,125829120,11,120,0.1171875
2026-02-01T03:47:25.763293,catalogue,0.009,16777216,9,16,0.015625
2026-02-01T03:47:25.763293,catalogue,0.006,213909504,6,204,0.19921875
2026-02-01T03:47:25.763293,front,0.066,102760448,66,98,0.095703125
2026-02-01T03:47:25.763293,orders,0.002,363855872,2,347,0.3388671875
2026-02-01T03:47:25.763293,orders,0.01,119537664,10,114,0.111328125
2026-02-01T03:47:25.763293,payment,0.002,12582912,2,12,0.01171875
2026-02-01T03:47:25.763293,queue,0.002,318767104,2,304,0.296875
2026-02-01T03:47:25.763293,rabbitmq,0.079,128974848,79,123,0.1201171875
2026-02-01T03:47:25.763293,session,0.005,5242880,5,5,0.0048828125
2026-02-01T03:47:25.763293,shipping,0.003,330301440,3,315,0.3076171875
2026-02-01T03:47:25.763293,user,0.002,13631488,2,13,0.0126953125
2026-02-01T03:47:25.763293,user,0.007,48234496,7,46,0.044921875
2026-02-01T03:47:30.865917,carts,0.106,363855872,106,347,0.3388671875
2026-02-01T03:47:30.865917,carts,0.011,125829120,11,120,0.1171875
2026-02-01T03:47:30.865917,catalogue,0.009,16777216,9,16,0.015625
